,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,pentane,233.0,1,CCCCC,carroll11
1,1,hexane,247.0,1,CCCCCC,carroll11
2,2,heptane,269.0,1,CCCCCCC,carroll11
6,6,undecane,333.0,1,CCCCCCCCCCC,carroll11
8,8,tridecane,367.0,1,CCCCCCCCCCCCC,carroll11
9,9,tetradecane,373.0,1,CCCCCCCCCCCCCC,carroll11
10,10,pentadecane,388.0,1,CCCCCCCCCCCCCCC,carroll11
12,12,heptadecane,421.0,1,CCCCCCCCCCCCCCCCC,carroll11
13,13,2-methylbutane,222.0,1,CC(C)CC,carroll11
14,14,2-methylpentane,241.0,1,CC(C)CCC,carroll11
15,15,2-methylheptane,277.0,1,CC(C)CCCCC,carroll11
16,16,2-methyloctane,297.0,1,CC(C)CCCCCC,carroll11
17,17,2-methylnonane,311.0,1,CC(C)CCCCCCC,carroll11
18,18,2-methyldecane,323.0,1,CC(C)CCCCCCCC,carroll11
19,19,2-methylundecane,334.0,1,CC(C)CCCCCCCCC,carroll11
20,20,2-methyldodecane,344.0,1,CC(C)CCCCCCCCCC,carroll11
21,21,cyclopentane,236.0,1,C1CCCC1,carroll11
23,23,"2,3-dimethylbutane",244.0,1,CC(C)C(C)C,carroll11
24,24,methylcyclopentane,250.0,1,CC1CCCC1,carroll11
25,25,"2,2-dimethylpentane",250.0,1,CC(C)(CCC)C,carroll11
26,26,"2,2,3-trimethylbutane",249.0,1,CC(C)(C(C)C)C,carroll11
27,27,"2,4-dimethylpentane",261.0,1,CC(C)CC(C)C,carroll11
28,28,cyclohexane,255.0,1,C1CCCCC1,carroll11
29,29,"3,3-dimethylpentane",254.0,1,CC(CC)(CC)C,carroll11
30,30,"1,1-dimethylcyclopentane",257.0,1,CC1(CCCC1)C,carroll11
31,31,"2,3-dimethylpentane",258.0,1,CC(C)C(CC)C,carroll11
32,32,3-methylpentane,241.0,1,CC(CC)CC,carroll11
33,33,3-methylhexane,258.0,1,CC(CC)CCC,carroll11
34,34,3-methylheptane,279.0,1,CC(CC)CCCC,carroll11
35,35,3-methyloctane,297.0,1,CC(CC)CCCCC,carroll11
36,36,3-methylnonane,314.0,1,CC(CC)CCCCCC,carroll11
