,Unnamed: 0,compound,flashpoint,pure substance,smiles,source
0,0,Trichlorosilane,245.0,1,Cl[SiH](Cl)Cl,pan12
1,1,Dichlorosilane,236.0,1,Cl[SiH2]Cl,pan12
2,2,Methyltrichlorosilane,276.0,1,C[Si](Cl)(Cl)Cl,pan12
3,3,Methyldichlorosilane,241.0,1,C[SiH](Cl)Cl,pan12
4,4,Dichloromethylmethyldichlorosilane,301.0,1,ClC(Cl)[Si](Cl)(Cl)C,pan12
6,6,Dimethyldichlorosilane,257.0,1,C[Si](Cl)(Cl)C,pan12
7,7,Dimethylchlorosilane,245.0,1,C[SiH](Cl)C,pan12
8,8,"1,1,1-Trifluoropropyltrichlorosilane",288.0,1,FC(C(C)[Si](Cl)(Cl)Cl)(F)F,pan12
9,9,Allyltrichlorosilane,304.0,1,C(C=C)[Si](Cl)(Cl)Cl,pan12
10,10,Methylvinyldichlorosilane,272.0,1,CC=C[SiH](Cl)Cl,pan12
11,11,3-Chloropropyltrichlorosilane,357.0,1,ClCCC[Si](Cl)(Cl)Cl,pan12
12,12,Bromomethyldimethylchlorosilane,314.0,1,BrC[Si](Cl)(C)C,pan12
14,14,Trimethylbromosilane,270.0,1,C[Si](Br)(C)C,pan12
15,15,Trimethylchlorosilane,255.0,1,C[Si](Cl)(C)C,pan12
16,16,Trimethoxysilane,264.0,1,CO[SiH](OC)OC,pan12
17,17,Trimethylsilane,204.0,1,C[SiH](C)C,pan12
18,18,Cyanoethylmethyldichlorosilane,333.0,1,C(#N)CC[Si](Cl)(Cl)C,pan12
19,19,Allylmethyldichlorosilane,300.0,1,C(C=C)C[SiH](Cl)Cl,pan12
20,20,3-Chloropropylmethyldichlorosilane,359.0,1,ClCCC[Si](Cl)(Cl)C,pan12
21,21,t-Butyltrichlorosilane,294.0,1,C(C)(C)(C)[Si](Cl)(Cl)Cl,pan12
22,22,Isobutyltrichlorosilane,310.0,1,C(C(C)C)[Si](Cl)(Cl)Cl,pan12
23,23,n-Butyltrichlorosilane,327.0,1,C(CCC)[Si](Cl)(Cl)Cl,pan12
24,24,n-Propylmethyldichlorosilane,300.0,1,C(CC)[Si](Cl)(Cl)C,pan12
26,26,Ethyldimethylchlorosilane,269.0,1,C(C)[Si](Cl)(C)C,pan12
27,27,"1,3-Dichlorotetramethyldisiloxane",288.0,1,Cl[Si](O[Si](Cl)(C)C)(C)C,pan12
28,28,Dimethyldimethoxysilane,265.0,1,C[Si](OC)(OC)C,pan12
29,29,Methyltrimethoxysilane,284.0,1,C[Si](OC)(OC)OC,pan12
31,31,Tetramethylsilane,245.0,1,C[Si](C)(C)C,pan12
32,32,"(N,N-Dimethylamino)dimethylsilane",260.0,1,CN(C)[SiH](C)C,pan12
34,34,Tetramethyldisilazane,284.0,1,CN([Si](C)(C)C)[SiH3],pan12
35,35,Cyclopentyltrichlorosilane,350.0,1,C1(CCCC1)[Si](Cl)(Cl)Cl,pan12
38,38,Allyldimethylchlorosilane,278.0,1,C(C=C)[Si](Cl)(C)C,pan12
39,39,3-Chloro-2-methylpropylmethyldichlorosilane,363.0,1,ClCC(C[Si](Cl)(Cl)C)C,pan12
40,40,n-Butylmethyldichlorosilane,303.0,1,C(CCC)[Si](Cl)(Cl)C,pan12
43,43,Diethylmethylchlorosilane,288.0,1,C(C)[Si](Cl)(C)CC,pan12
44,44,Chloromethyldimethylethoxysilane,299.0,1,ClC[Si](OCC)(C)C,pan12
45,45,Ethyltrimethoxysilane,300.0,1,C(C)[Si](OC)(OC)OC,pan12
47,47,Bis(dimethylamino)methylsilane,270.0,1,CN(C)C(N(C)C)[SiH3],pan12
49,49,Phenyldichlorosilane,333.0,1,C1(=CC=CC=C1)[SiH](Cl)Cl,pan12
50,50,Phenylsilane,281.0,1,C1(=CC=CC=C1)[SiH3],pan12
51,51,1-Hexenyltrichlorosilane,333.0,1,C(=CCCCC)[Si](Cl)(Cl)Cl,pan12
52,52,Bis(chloromethyl)tetramethyldisiloxane,346.0,1,ClC[Si](O[Si](C)(C)C)(C)CCl,pan12
